,cities,days,max_temp,min_temp,weather,lat,lon
0,Mont-Saint-Michel,1,2.56,8.12,Clouds,48.6359541,-1.511459954959514
1,Mont-Saint-Michel,2,0.31,6.75,Clouds,48.6359541,-1.511459954959514
2,Mont-Saint-Michel,3,-0.3,5.82,Clouds,48.6359541,-1.511459954959514
3,Mont-Saint-Michel,4,3.91,11.65,Rain,48.6359541,-1.511459954959514
4,Mont-Saint-Michel,5,6.63,10.4,Rain,48.6359541,-1.511459954959514
5,Mont-Saint-Michel,6,9.82,13.14,Rain,48.6359541,-1.511459954959514
6,St-Malo,1,4.56,7.82,Clouds,48.649518,-2.0260409
7,St-Malo,2,2.6,6.14,Clouds,48.649518,-2.0260409
8,St-Malo,3,1.49,5.96,Clouds,48.649518,-2.0260409
9,St-Malo,4,4.79,11.63,Rain,48.649518,-2.0260409
10,St-Malo,5,7.74,10.92,Rain,48.649518,-2.0260409
11,St-Malo,6,9.82,11.81,Rain,48.649518,-2.0260409
12,Bayeux,1,2.51,7.87,Clouds,49.2764624,-0.7024738
13,Bayeux,2,-0.1,5.13,Clouds,49.2764624,-0.7024738
14,Bayeux,3,-0.71,4.77,Clouds,49.2764624,-0.7024738
15,Bayeux,4,2.78,9.94,Rain,49.2764624,-0.7024738
16,Bayeux,5,5.99,10.15,Rain,49.2764624,-0.7024738
17,Bayeux,6,9.18,11.0,Rain,49.2764624,-0.7024738
18,Le-Havre,1,4.36,8.57,Clouds,49.4938975,0.1079732
19,Le-Havre,2,2.31,5.66,Clouds,49.4938975,0.1079732
20,Le-Havre,3,1.88,5.47,Clouds,49.4938975,0.1079732
21,Le-Havre,4,4.49,11.05,Rain,49.4938975,0.1079732
22,Le-Havre,5,7.01,10.24,Rain,49.4938975,0.1079732
23,Le-Havre,6,9.12,12.63,Rain,49.4938975,0.1079732
24,Rouen,1,1.89,7.8,Clouds,49.4404591,1.0939658
25,Rouen,2,-0.17,5.16,Clouds,49.4404591,1.0939658
26,Rouen,3,-0.92,4.24,Clouds,49.4404591,1.0939658
27,Rouen,4,1.04,7.95,Rain,49.4404591,1.0939658
28,Rouen,5,4.57,9.56,Rain,49.4404591,1.0939658
29,Rouen,6,8.39,10.75,Rain,49.4404591,1.0939658
30,Paris,1,3.1,6.76,Clouds,48.8588897,2.3200410217200766
31,Paris,2,0.62,4.97,Clear,48.8588897,2.3200410217200766
32,Paris,3,-0.11,4.15,Clouds,48.8588897,2.3200410217200766
33,Paris,4,1.51,8.24,Rain,48.8588897,2.3200410217200766
34,Paris,5,5.83,9.34,Clouds,48.8588897,2.3200410217200766
35,Paris,6,8.64,11.29,Clouds,48.8588897,2.3200410217200766
36,Amiens,1,1.7,7.26,Clouds,49.8941708,2.2956951
37,Amiens,2,-0.28,4.57,Clear,49.8941708,2.2956951
38,Amiens,3,-1.0,3.65,Clouds,49.8941708,2.2956951
39,Amiens,4,0.72,8.1,Rain,49.8941708,2.2956951
40,Amiens,5,5.26,8.62,Clouds,49.8941708,2.2956951
41,Amiens,6,8.4,10.33,Rain,49.8941708,2.2956951
42,Lille,1,2.55,7.81,Clouds,50.6365654,3.0635282
43,Lille,2,0.04,4.23,Clear,50.6365654,3.0635282
44,Lille,3,-0.25,3.46,Clouds,50.6365654,3.0635282
45,Lille,4,0.2,9.49,Rain,50.6365654,3.0635282
46,Lille,5,5.64,8.74,Rain,50.6365654,3.0635282
47,Lille,6,8.06,10.72,Rain,50.6365654,3.0635282
48,Strasbourg,1,0.16,6.14,Clouds,48.584614,7.7507127
49,Strasbourg,2,-1.47,2.57,Clear,48.584614,7.7507127
50,Strasbourg,3,-2.58,1.06,Clouds,48.584614,7.7507127
51,Strasbourg,4,-2.29,4.65,Rain,48.584614,7.7507127
52,Strasbourg,5,4.32,7.46,Rain,48.584614,7.7507127
53,Strasbourg,6,6.31,10.31,Rain,48.584614,7.7507127
54,Chateau-du-Haut-Koenigsbourg,1,-3.11,2.29,Clouds,48.249489800000006,7.34429620253195
55,Chateau-du-Haut-Koenigsbourg,2,-5.01,-0.19,Clear,48.249489800000006,7.34429620253195
56,Chateau-du-Haut-Koenigsbourg,3,-6.05,-0.85,Clouds,48.249489800000006,7.34429620253195
57,Chateau-du-Haut-Koenigsbourg,4,-4.4,5.23,Rain,48.249489800000006,7.34429620253195
58,Chateau-du-Haut-Koenigsbourg,5,2.3,5.87,Rain,48.249489800000006,7.34429620253195
59,Chateau-du-Haut-Koenigsbourg,6,3.19,7.0,Rain,48.249489800000006,7.34429620253195
60,Colmar,1,-0.34,5.6,Clouds,48.111095000000006,7.363622702110888
61,Colmar,2,-2.1,2.82,Clear,48.111095000000006,7.363622702110888
62,Colmar,3,-3.03,2.76,Clouds,48.111095000000006,7.363622702110888
63,Colmar,4,-0.65,6.31,Rain,48.111095000000006,7.363622702110888
64,Colmar,5,5.42,7.23,Rain,48.111095000000006,7.363622702110888
65,Colmar,6,5.38,9.87,Clouds,48.111095000000006,7.363622702110888
66,Eguisheim,1,-0.26,5.33,Clouds,48.0377622,7.317521300603902
67,Eguisheim,2,-2.03,2.92,Clear,48.0377622,7.317521300603902
68,Eguisheim,3,-2.88,3.08,Clouds,48.0377622,7.317521300603902
69,Eguisheim,4,-0.2,6.76,Rain,48.0377622,7.317521300603902
70,Eguisheim,5,5.56,7.08,Rain,48.0377622,7.317521300603902
71,Eguisheim,6,5.28,10.13,Clouds,48.0377622,7.317521300603902
72,Besancon,1,-1.97,5.37,Clouds,47.2380222,6.0243622
73,Besancon,2,-3.05,4.21,Clear,47.2380222,6.0243622
74,Besancon,3,-3.33,4.03,Clouds,47.2380222,6.0243622
75,Besancon,4,-1.04,5.19,Rain,47.2380222,6.0243622
76,Besancon,5,4.28,6.22,Rain,47.2380222,6.0243622
77,Besancon,6,4.45,8.62,Rain,47.2380222,6.0243622
78,Dijon,1,-0.12,5.04,Clouds,47.3215806,5.0414701
79,Dijon,2,-2.78,2.93,Clouds,47.3215806,5.0414701
80,Dijon,3,-3.48,2.5,Clouds,47.3215806,5.0414701
81,Dijon,4,-1.42,5.43,Clouds,47.3215806,5.0414701
82,Dijon,5,4.23,7.09,Rain,47.3215806,5.0414701
83,Dijon,6,5.03,8.83,Rain,47.3215806,5.0414701
84,Annecy,1,-3.71,3.92,Clouds,45.8992348,6.1288847
85,Annecy,2,-3.19,4.45,Clouds,45.8992348,6.1288847
86,Annecy,3,-3.42,4.79,Clouds,45.8992348,6.1288847
