hotel_names,rating,coordinates,description,links,town
ibis budget Carcassonne La Cité,7.7,"2.37880825996399,43.2076548087517","L'ibis budget Carcassonne La Cité est situé à Carcassonne, à 15 minutes à pied de la cité médiévale et à 2 km du centre-ville. ",www.booking.com/hotel/fr/ibis-budget-carcassonne-la-cite.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
SOWELL HOTELS Les Chevaliers,8.3,"2.35819995221902,43.2110324447747","Situé à Carcassonne, à 2 minutes à pied de l'Aude et offrant une vue sur le pont Vieux, le SOWELL HOTELS Les Chevaliers propose une connexion Wi-Fi gratuite. ",www.booking.com/hotel/fr/soleil-vacances-les-chevaliers.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
ibis Carcassonne Est la Cité,8.1,"2.38674759864807,43.2092520235757",L'ibis Carcassonne Est la Cité se trouve à 5 minutes en voiture du centre-ville de Carcassonne et à 1 km de la partie médiévale de la ville. ,www.booking.com/hotel/fr/ibis-berriac-2.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
ibis budget Carcassonne Aéroport - A61,7.9,"2.31039047241211,43.2045189067021",L'ibis budget Carcassonne Aéroport vous accueille à respectivement 1 et 5 km de l'aéroport et du centre-ville médiéval de Carcassonne. ,www.booking.com/hotel/fr/etap-carcassonne-aeroport.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Hotel Espace Cite,8.6,"2.36776024103165,43.2083546950589","Doté d'une connexion Wi-Fi gratuite, l'Hotel Espace Cite est installé à seulement 200 mètres du centre-ville médiéval de Carcassonne et à 500 mètres du canal du Midi, deux sites classés au patrimoine...",www.booking.com/hotel/fr/inter-espace-cite.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Premiere Classe Carcassonne,6.7,"2.3124061524868,43.2065072124278","Le Premiere Classe Carcassonne se situe à La Bouriette, à proximité de l'autoroute A61 des Deux Mers et à 3 minutes de l'aéroport. Une connexion Wi-Fi est disponible gratuitement. ",www.booking.com/hotel/fr/premiere-classe-carcassonne.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
La Rapière,8.5,"2.36704409122467,43.2082373962379","Située juste à l'extérieur des remparts, la maison d'hôtes La Rapière vous accueille à seulement 150 mètres de la ville médiévale de Carcassonne et à 15 minutes à pied du centre-ville. ",www.booking.com/hotel/fr/la-rapia-re.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
ibis Styles Carcassonne La Cité,8.7,"2.37271428108215,43.2075844286787",L'ibis Styles Carcassonne La Cité est situé à seulement 600 mètres de la ville médiévale de Carcassonne. ,www.booking.com/hotel/fr/inter-les-oliviers.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Best Western Plus Le Donjon - Cœur de La Cité Médiévale,8.4,"2.36363366246223,43.2064642015836","Installé au cœur de la cité médiévale de Carcassonne et entouré par les remparts de la ville, le Best Western Plus Le Donjon - Cœur de La Cité Médiévale possède un restaurant-bar et se compose de 3...",www.booking.com/hotel/fr/bestwesternledonjon.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
L’Antre d’Eux,9.7,"2.393966,43.193012","Doté d'une piscine extérieure, L'Antre d'Eux Situé à Carcassonne, l'établissement propose gratuitement une connexion Wi-Fi et un parking privé. ",www.booking.com/hotel/fr/antre-d-eux-carcassonne1.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
