,0
wine,66384
flavor,59742
fruit,45191
finish,34440
aroma,33950
acid,31191
palat,29533
tannin,26205
ripe,22978
note,20402
dri,19159
cherri,19025
rich,18332
fresh,17205
show,15436
spice,14642
red,14113
berri,13241
offer,13182
nose,12945
plum,12650
blackberri,12495
drink,12193
sweet,12022
soft,12016
textur,11759
light,11637
balanc,11528
oak,11383
crisp,10304
structur,10269
hint,9229
bright,9064
fruiti,8929
blend,8728
raspberri,8621
vanilla,8387
black,8383
touch,8365
juici,8323
miner,8212
give,8159
veri,8121
citrus,8090
firm,7932
dark,7705
concentr,7674
feel,7470
herb,7356
well,7337
good,7155
age,7136
black_cherri,7028
complex,6995
open,6385
eleg,6385
spici,6317
smooth,6289
appl,6226
full,6098
charact,5995
tart,5819
make,5616
round,5501
intens,5466
herbal,5423
bottl,5296
come,5145
pear,5116
fine,5099
licoric,5056
also,4983
tannic,4944
peach,4926
tast,4926
toast,4888
earthi,4859
layer,4767
dens,4722
clean,4696
savori,4641
white,4638
creami,4616
bit,4538
mouth,4535
chocol,4523
like,4502
power,4495
long,4363
green,4352
delici,4336
fullbodi,4324
along,4298
slight,4287
year,4283
tight,4276
style,4114
nice,4109
vineyard,4078
cabernet_sauvignon,4076
yet,4030
merlot,4006
cassi,3955
accent,3941
honey,3902
mouthfeel,3886
syrah,3842
chardonnay,3824
made,3819
still,3714
one,3587
leather,3583
lemon,3572
tobacco,3561
cola,3503
linger,3470
refresh,3445
live,3408
alongsid,3398
scent,3393
great,3357
grape,3354
lead,3330
suggest,3279
strawberri,3268
tropic,3207
littl,3196
floral,3170
mix,3167
melon,3128
simpl,3122
pineappl,3107
solid,3102
readi_drink,3009
strong,2987
produc,2987
aromat,2987
smoki,2984
core,2978
clove,2974
pepper,2963
bring,2953
edg,2949
follow,2925
apricot,2919
generous,2908
big,2905
attract,2904
plenti,2895
almost,2894
perfum,2848
blueberri,2827
wood,2822
seem,2804
candi,2765
lime,2750
pretti,2747
quit,2719
tangi,2702
coffe,2700
black_currant,2690
cabernet,2666
cranberri,2639
pinot_noir,2629
cedar,2616
young,2613
delic,2603
beauti,2602
lot,2596
tone,2581
domin,2562
impress,2540
vintag,2538
mocha,2533
oaki,2528
lush,2523
currant,2470
barrel,2449
matur,2446
jammi,2421
smoke,2413
zesti,2412
black_pepper,2396
close,2376
end,2353
cinnamon,2342
bake,2339
mediumbodi,2276
caramel,2228
enough,2207
grapefruit,2205
vibrant,2202
deliv,2194
earth,2179
toasti,2173
whiff,2169
frame,2162
back,2161
warm,2151
dusti,2146
white_pepper,2136
much,2130
subtl,2130
silki,2111
provid,2102
thick,2100
love,2089
bitter,2085
weight,2078
carri,2066
combin,2066
best,2061
add,2049
bold,2027
bake_spice,1999
cabernet_franc,1992
time,1992
enjoy,1991
deep,1990
although,1979
orang,1979
color,1974
mint,1935
easi,1933
green_appl,1923
heavi,1915
full_bodi,1904
malbec,1900
aftertast,1900
lean,1898
pure,1895
brisk,1893
express,1893
espresso,1873
wineri,1873
qualiti,1870
hard,1858
depth,1846
mark,1842
bouquet,1839
lift,1825
polish,1812
element,1799
suppl,1791
start,1784
pinot,1772
riesl,1764
cut,1763
pack,1761
forward,1761
even,1759
palat_deliv,1752
sharp,1749
pleasant,1737
violet,1734
support,1732
keep,1725
focus,1713
velveti,1712
tangerin,1711
chewi,1696
appeal,1681
nt,1650
pepperi,1642
sauvignon_blanc,1622
wild,1615
mild,1613
anis,1558
streak,1551
go,1531
drink_2018,1527
side,1522
astring,1519
rather,1506
crush,1501
lend,1497
first,1489
yellow,1488
red_currant,1483
varieti,1482
right,1481
smell,1480
nuanc,1471
integr,1457
flower,1449
dark_chocol,1448
classic,1446
stone_fruit,1444
bodi,1439
interest,1434
doe,1427
rosé,1414
high,1413
includ,1412
glass,1404
onli,1403
roast,1402
estat,1387
develop,1384
approach,1383
fragrant,1352
white_peach,1351
doe_nt,1322
midpal,1313
pair,1300
plump,1299
overal,1299
sip,1296
straightforward,1285
lead_nose,1281
petit_verdot,1281
cellar,1272
raci,1266
though,1265
turn,1259
prune,1257
leav,1256
extract,1251
rustic,1250
perfect,1249
nectarin,1228
get,1225
remain,1214
way,1213
alcohol,1213
exot,1207
opul,1205
alreadi,1205
take,1203
cocoa,1195
highlight,1184
gentl,1183
fleshi,1181
despit,1172
befor,1169
raisin,1168
lack,1164
char,1158
chunki,1153
need,1146
featur,1145
graphit,1136
load,1135
sens,1127
wood_age,1127
length,1126
play,1119
wild_berri,1112
medium_bodi,1110
hold,1109
citrusi,1108
set,1101
lemoni,1097
brambl,1092
drink_2017,1089
boast,1088
last,1088
plush,1084
price,1084
persist,1083
meati,1077
robust,1073
cab,1071
sage,1067
somewhat,1062
appel,1059
new,1057
intrigu,1057
wonder,1055
excel,1048
grip,1047
soften,1044
luscious,1041
natur,1039
drink_2020,1038
boysenberri,1037
fair,1034
raw,1031
almond,1030
sour,1027
food,1020
winemak,1018
ampl,1016
short,1002
leatheri,1000
top,995
present,994
fig,993
find,992
minti,983
honeysuckl,981
wrap,978
french_oak,978
sangioves,978
drink_2019,973
viognier,969
invit,965
moder,965
around,961
result,960
burst,959
youth,958
broad,957
front,948
zinfandel,942
blackfruit,937
